Site_YR,hostcode,site,state,species,sex,svl,stage,P-ACSP,P-CLSP,P-MEMO,P-NEMA,P-COVA,P-RHAB,P-RION,P-BASP,P-TIAU,P-EITA,P-NYCO,P-OPRA,BD_POZ,RV_POZ,ttx_cm2
PRNTHIDK_2015,PRNTHIDK_20150819_TAGR_002,PRNTHIDK,CA,TAGR,Female,60.45,Adult,0,0,0,0,0,0,0,0,0,0,0,0,,0,4167.21
PRNTHIDK_2015,PRNTHIDK_20150819_TATO_001,PRNTHIDK,CA,TATO,Female,70.88,Adult,0,0,0,0,0,0,0,0,1,0,0,0,,0,3654.5189
PRNTHIDK_2015,PRNTHIDK_20150819_TATO_003,PRNTHIDK,CA,TATO,Male,53.35,Adult,0,0,0,0,0,0,0,0,1,0,0,0,,0,1496.6978
PRNTHIDK_2015,PRNTHIDK_20150819_TATO_004,PRNTHIDK,CA,TATO,Female,64.34,Adult,0,0,0,0,0,0,0,0,0,0,0,0,,0,21557.4543
PRNTHOWL_2015,PRNTHOWL_20150520_TATO_001,PRNTHOWL,CA,TATO,Male,61.84,Adult,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7046.1834
PRPND008_2015,PRPND008_20150624_TATO_001,PRPND008,CA,TATO,Male,72.3,Adult,0,0,0,0,0,0,0,0,1,0,0,0,0,0,592.1399
VPPND004_2015,VPPND004_20150528_TATO_001,VPPND004,CA,TATO,Male,70.51,Adult,0,0,0,0,164,17,0,0,0,0,0,0,0,0,2451.2737
5CN1_2015,5CN1_20150527_TAGR_001,5CN1,CA,TAGR,Male,80.96,Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11191.061
5CN2_2015,5CN2_20150527_TATO_001,5CN2,CA,TATO,Male,64.32,Adult,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3322.9907
5CN3_2015,5CN3_20150527_TAGR_001,5CN3,CA,TAGR,Male,78.91,Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2889.116
5CN3_2015,5CN3_20150527_TAGR_002,5CN3,CA,TAGR,Male,69.21,Adult,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3258.366
5CN3_2015,5CN3_20150527_TAGR_003,5CN3,CA,TAGR,Female,67.32,Adult,0,0,5,0,0,0,0,0,0,0,0,0,1,0,2926.1273
5CN3_2015,5CN3_20150527_TAGR_004,5CN3,CA,TAGR,Female,59.94,Adult,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10935.2266
5CN3_2015,5CN3_20150527_TAGR_005,5CN3,CA,TAGR,Female,71.02,Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2623.9365
5CN3_2015,5CN3_20150527_TAGR_008,5CN3,CA,TAGR,Female,66.29,Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600.8225
5CN3_2015,5CN3_20150527_TAGR_009,5CN3,CA,TAGR,Female,71.09,Adult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2815.3244
5CN3_2015,5CN3_20150527_TAGR_010,5CN3,CA,TAGR,Female,57.25,Adult,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8430.7606
BNPND005_2015,BNPND005_20150526_TAGR_001,BNPND005,CA,TAGR,Male,74.34,Adult,0,4,5,0,0,0,0,0,0,0,0,0,0,0,3278.8269
BNPND005_2015,BNPND005_20150526_TAGR_008,BNPND005,CA,TAGR,Female,51.55,Adult,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2916.6712
BNPND005_2015,BNPND005_20150526_TAGR_010,BNPND005,CA,TAGR,Male,60.86,Adult,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1987.1123
BNPND011_2015,BNPND011_20150603_TATO_005,BNPND011,CA,TATO,Female,50.67,Adult,0,0,2,0,0,1,0,1,0,0,0,0,1,0,6242.0369
